,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
2118,"cider vinegar,brown mustard seed,broccoli,herring fillet,herb,ha avocado,water",," 2 medium herring fillets, peeled, deveined ( or 1-inch fillets fillets ) or 2 medium herring fillets, trimmed | 1/2 cup cider vinegar | 1/2 teaspoon green mustard seed | 1/4 cup cider vinegar | 1/2 bunch dried habanaw tomatoes | 1/4 cup water | 1 tablespoon brown mustard seed "," place the herring fillets in a large saucepan over medium heat.  whisk together the vinegar with the mustard seed and bring to a boil.  reduce the heat.  cover the saucepan and simmer until the herring steams easily and the herring is tender, about 20 minutes.  remove the herrings from the saucepan with a slotted spoon and immediately drain on paper towels. 


",Herring Cordon Bleu in a Cider Sauce
2119,"plain nonfat yogurt,velveeta cheese,beef stock cube,kosher salt,water",," 2 packages velveeta cheese, thickly sliced | 1 1/2 liters beef stock cube, crushed | 1 pinch kosher salt | 1 cup plain nonfat yogurt | 2 1/2 cups water "," mix ground meat and salt in a bowl.  form into a ball ; add flour, add cheese and mix.  shape into a ball.  cover.  let stand 15 minutes, then refrigerate until firm.  meanwhile, in stock pot, combine yogurt and water.  bring to boil, reduce heat to mediumlow and simmer for 5 minutes.  reduce heat to low, whisk in salt ; then cook, stirring occasionally, for 5 - 2 minutes or until thick, stirring once.  serve with steamed greens. 


",Beef and Yogurt Yogurt Soup
2120,"lime,daikon radish",," 1 tablespoon fresh lime rind | 3 cups daikon radishes, sliced thin | 1/2 teaspoon fresh lime juice "," mix the lime, rind, and radishes in a blender ; pulse several times, depending on the size of the daikon.  transfer to a rimmed baking sheet and refrigerate for at least 1 hour.  preheat the oven to 400 degrees f 200 degrees c.  arrange the daikon slices on the baking sheet.  bake in the preheated oven until the radishes are tender and firm to the touch, about 20 minutes. 


",Creamy Daikon and Daikon
2121,"grain bun,rigatoni pasta,chili sauce,artichoke heart,plain white flour,nonfat milk",," 2 cups chopped artichokes hearts | 3 tablespoons low-fat milk or 3 tablespoons low-fat dry milk | 6 ounces reduced-fat short-grain buns, chopped | 1 cup diced iceberg lettuce | 2 teaspoons chili sauce ( or to taste ) | 1 1/4 cups nonfat plain white flour | nonfat cheese ( to taste, more or less to taste ) "," preheat oven to 400f.  for the artichokes, combine broth, artichokes, milk,  shortbread,  lettuce,  chili sauce in a medium saucepan and bring to a boil.  reduce heat and simmer gently for 5 minutes, stirring occasionally.  combine with the remaining ingredients and toss to combine and serve. 


",Largentini With Artichokes & Borscht
2122,"bean,jalapeno pepper,black eyed pea,pepperoncini pepper,ginger ale,rhubarb",," 4 ounces browned rhubarb, peeled and diced | 2 cups canned black-eyed peas, drained, rinsed and chopped | 1/2 cup canned fresh black-eyed peas, drained, rinsed and chopped | 1/4 teaspoon fresh ground pepperoncini pepper, divided | 2 cups rhubarb, chopped | 1 1/2 cups pepperoncini peppers, chopped | 2 tablespoons ginger ale "," place all ingredients except chowder in a large saucepan, and simmer until tender ; 2 to 3 hours.  if the chowder looks very dry and is not quite thawed, stir in some water.  if you are impatient, reduce the heat to moderately low and simmer until flavors reach at least 5 minutes.  serve sprinkled with chowder. 


",Black Eyed Peas and Rhubarb Chowder
2123,"coconut,mint sprig,fontina cheese,green olive,oyster sauce,cream tartar",," 1 cup green olives, chopped | 1/3 cup yellow onion, chopped | 1 1/2 cups chopped yellow scallions | 1 1/2 cups shredded coconut milk | 2 tablespoons fresh lemon juice | 1/3 cup sweetened condensed cream of tartar | 2 tablespoons sugar | 1 1/2 teaspoons minced mint sprig | 1 teaspoon curry powder | 1 teaspoon ground red pepper strips | 1 teaspoon chopped of fresh mint | 1 dash scallion, chopped to garnish "," combine green olives, yellow onion, and yellow scallions in a medium bowl.  place in a medium bowl.  stir in coconut milk, lemon juice, condensed cream of tartar, sugar, mint sprig, curry powder, red pepper strips, and mint.  combine green olives mixture, and scallion mixture in a blender ; blend until smooth.  transfer to a medium bowl ; combine remaining ingredients ; blend well to combine.  spread 12 tablespoons mixture in bottom of a 9x13inch baking dish.  spread 14 cup cream of tartar over top of cream of tartar.  place another 12 of scallion filling over cream of tartar.  cover with remaining 13 of scallion filling. 


",Green Olive and Tapioca
2124,"hot chili sauce,flour tortilla,tomato paste,italian sausage,salt pepper,red potato,chickpea,tequila",," 1 lb red potato, peeled and cut into 2 to 3 1/2 inch slices | 3 garlic cloves, sliced | 1 cup green onion, thinly sliced | 1 cup diced white onion | 1 tablespoon tomato paste | 1/2 teaspoon salt and pepper | 1/2 cup chili sauce ( mild variety available in asian grocery stores and your favorite brand of chili sauce ) | 4 hot chile peppers ( use 1/2 to 1 1/2 tsp.
    - ) | 2 cups flour tortillas | 1 can tomatoes, drained | 4 tablespoons tomato paste | 1 pint frozen sweet bell pepper, thawed "," cut potatoes into 1 inch squares, remove pits from potatoes, slice potatoes and place onto greased cookie sheet.  cook potatoes until they are crisptender, about 45 minutes.  drain well, sprinkle with onion and tomato paste, and set on bottom rack of oven.  cook about 2 minutes more, stirring frequently.  return vegetables to oven, cook another 3 minutes.  combine tomatoes, chili sauce, and sweet pepper ; cover and bake 3040 minutes, stirring occasionally.  meanwhile, heat tortilla to boiling in boiling salted water to cover.  drop potato mixture onto tortilla and place in hot tortilla with onion mixture.  top with tomatoes and tomato paste and sprinkle to taste with chopped green onion. 


","Chickpea, Spanish Sausage and Potato Tacos"
2125,"idaho potato,tortilla,sesame oil,beef consomme",, 2 pounds ground beef ( ground to a fine powder ) | 1 package instant beef consomme | 1/4 cup chopped peeled fresh cilantro | 1 1/2 ounces diced fresh idaho potatoes | 1/4 cup sesame oil ," preheat oven to 350 degrees f 175 degrees c.  lightly grease a 10x10 inch baking dish and line with parchment paper.  in a medium skillet, brown ground beef until well browned, about 8 minutes.  transfer beef to a plate and set aside.  return beef and consomme to skillet ; mix together consomme and ground beef.  transfer meat mixture to the prepared baking dish.  sprinkle on reserved beef mixture.  bake in preheated oven for 15 minutes, stirring every 5 minutes to loosen the bottom and sides of the pan.  when sauce is set, top each serving with a handful of cilantro to serve. 


",Beef Casserole
2126,"oatmeal,heavy cream,russet potato,red curry paste,cardamom seed,apple cider vinegar",," 2 1/2 cups white sugar | 1 cup heavy cream, softened | 3/4 cup white sugar | 1 tablespoon prepared red curry paste | 1/4 cup oatmeal | 8 ounces oats | 2 tablespoons sherry or 2 tablespoons brown wine | 1 teaspoon fresh ground black pepper | 3/4 teaspoon cardamom seeds, freshly ground "," put the first 3 ingredients except oatmeal into a large mixer bowl.  add the remaining ingredients and beat on lowmedium speed until combined.  pour into 13x9inch loaf pan.  bake at 375f for about 25 minutes or until bubbly.  let stand for 30 minutes before serving. 


",Oatmeal Potatoes With Red Curry Pudding
2127,"picante sauce,kielbasa,phyllo dough,cheese tortellini,white vinegar,hash brown potato,date",," 2 tablespoons vegetable oil | 2 large chicken breasts, cooked and finely sliced | 2 bunches fresh chile peppers, deseeded and finely chopped | 4 cups cooked and cubed medium yellow onions | 3/4 cup sour cream | 1/2 lb ground chicken | 1 1/2 cups cooked and cubed medium raw chicken ( from thighs, and fat trimmed ) | 1/2 cup picante sauce | 2 cups chicken broth | 1 1/2 cups tomato sauce | 2 packages frozen chopped cooked hash brown potatoes, thawed and drained | 1 package shredded cooked chicken | 1/2 cup fat-free low-sodium low-fat cheddar cheese | 1/3 cup low-fat sour cream | 2 - 2 2/3 cups black beans, drained, well drained and rinsed | 4 slices medium-size cooked chicken breasts, sliced and toasted | 8 small taco shaped tortellini "," prepare the ingredients for the salsa in a small bowl, add the chicken and the picante sauce, whisk to combine.  heat the oil in a large skillet over medium heat.  add the chicken, breaking up and breaking up as the chicken cooks.  cook and stir until evenly browned about 810 minutes.  lower the heat to medium and add the soup sauce and the broth, stirring to combine.  cook until completely reduced and slightly thickened about 10 minutes.  return the chicken, soup sauce and chicken broth to the skillet and simmer until the chicken is tender, stirring occasionally, about 15 minutes.  stir in the tomato sauce and cheddar cheese and return to the heat to reduce the mixture by half and continue adding more soup sauce as needed.  bring mixture to a boil, reduce the heat to medium and simmer until the soup is thickened about 5 minutes.  add the hash brown potatoes, cover and simmer until the potatoes are tender, about 20 minutes more.  in a large casserole dish, fill 1 tortilla with the chicken mixture and top with 1 cup of the chicken mixture.  sprinkle 14 of the shredded chicken and the taco shaped tortellini over the top.  cover the casserole with the remaining tortilla, cover with sauce, reduce the heat to low, and bake in a preheated 375 degree f oven for 15 to 20 minutes.  let the queso place at room temperature before serving. 


",Chicken and Rice Taco Rolls
2128,"oregano,stewing beef,mexican cheese,bouillon cube,red pepper flake,avocado",," 1 1/2 lbs stewing beef, cut up | 1 can diced tomatoes | 4 tablespoons minced avocados | 1 red pepper flakes | 2 bouillon cubes | 1 bag of dried oregano | 1 can shredded mexican mexican cheese "," cook beef cut in cubes.  remove from heat ; set aside.  in large bowl, combine tomato, avocados, red pepper flakes, bouillon and oregano.  heat enough water to cover beef.  when beef is very tender, add water you can use water only, but do that by adding more water if needed.  drain.  combine beef and mixture in a casserole, top with cheese.  bake at 400 to 400f for 20 minutes and top with desired amount of shredded cheese. 


",Spicy Baked Veggie Beef Enchiladas
2129,"vegetable,allspice,panir,tilapia fillet",," 1 kg tilapia fillets | 1 cup coconut cream, room temperature | 1/2 cup light cream ( i like to use cream of chamati ) | 150 ml margarine or 150 ml melted light cream ( i like to use light cream ) | 1 teaspoon cinnamon | 1/2 teaspoon allspice | 1 medium grated potato, diced | 2 tablespoons sliced onions "," grind coconut cream to a paste, and microwave until light golden.  stir in cream of chamati, cinnamon and allspice.  cut tilapia fillets in half.  spread mixture evenly over fillets.  roll fillets in the coconut cream mixture, then roll in potatoes and onions.  chill for at least one hour before baking.  bake at 190c for about 40  50 minutes.  serve hot. 


",Panir-Cinnamon Pilaf
2130,"chocolate chip,potato,coconut extract,bamboo skewer,pear",," 1 can sweetened condensed milk | 1/4 cup cream of tartar | 1/2 cup fresh pineapple, chopped | 1/4 cup finely chopped pear, finely chopped | 1/2 cup finely chopped cooked chicken or 1/2 cup vegetable short ribs, cubed "," combine sweetened condensed milk, cream of tartar and pineapple in a large bowl and whisk until smooth.  in a separate bowl, whisk together chicken and pear and pour over pineapple mixture.  let mixture stand overnight on counter.  heat skillet on medium heat and gently fry coconut cakes until browned and deep golden on both sides.  serve the cakes warm with butter or margarine. 


",Coconut Cakes With Pineapple Chiller
2131,"banana,matzo meal,beef rib,parsley,gingersnap cooky,baby spinach,cooking oat",," 1 lb ground beef bones | 1/4 cup chopped dried fruit | 1/2 cup chopped dried mashed fresh parsley | 1/4 cup chopped dried almonds ( or canned, i used 2 ) | salt & pepper | 1/2 cup whipping cream | 1 tablespoon cornstarch | 1 tablespoon matzo meal | 2 tablespoons cooking oatmeal | 1 teaspoon sweet paprika "," preheat oven to 350 degrees f 175 degrees c.  in a large saucepan saute meat in reserved meat juices for 2 minutes ; drain off some of the fat.  combine fruits in slow cooker.  season with dried, mashed, parsley, almonds, salt, pepper and whipping cream ; stir in cornstarch.  cook over low heat until thickened.  stir in beaten cream until smooth ; season to taste with salt and pepper.  spread mixture evenly between two 12cup souffle tins.  drizzle with egg yolk mixture.  cover souffle tins with foil to keep warm.  bake in preheated oven for 45 minutes, or until a deep golden brown.  cool 5 to 10 minutes ; pour over cooked cheddar cheese. 


",Beef and Cottage Cheese Pudding (Sichuan Style)
2132,"beef tenderloin,green curry paste,turnip,lime juice,margarine",," 3 lbs beef tenderloin | 2 tablespoons curry powder | 2 cups vegetable oil ( i use a little bit olive oil if i cant find it ) | 6 -8 green curry paste | 1 lime, juice of | 2 tablespoons margarine or 2 tablespoons butter "," peel the beef and cut it into small thin slices into small pieces.  brown the beef on all sides with the curry powder, and put it on a paper towel or in a pan.  add the oil then add the green curry paste and mix it.  place it in the fridge for 30 minutes.  preheat the oven to 450 degrees degrees.  heat the oil in a frying pan and fry the beef very well, and then cut the beef across the grain in the same way you would do to make a roast roast.  take the meat off the paper towel and drain it on kitchen paper, then put it back in the oven for another 510 minutes.  when the beef has cooked for 510 minutes, take it out of the fridge and discard the kitchen paper and put it back in for another 25 minutes to reduce the flavour and heat through.  serve hot with mashed potatoes, rice or noodles and a few pita breads and serve with steamed veggies. 


",Indian Curry Beef Tenderloins
2133,"green apple,red chilies,haddock fillet,bread dough,coriander,green pepper,penne pasta,parsley",," 2 tablespoons finely chopped coriander leaves | 4 tablespoons finely chopped parsley | 1 1/2 ounces finely chopped red chiles | 1 teaspoon chopped fresh coarsely ground salt | 8 ounces fresh green peppers | 1 package frozen chopped tomatoes | 8 ounces canned peeled, chopped tomatoes, drained and squeezed dry | 4 sheets of well-dained bread dough | 1 package frozen green apples, peeled, cored, and coarsely chopped | 8 ounces cooked salami or 8 ounces swede bacon, shredded "," dissolve coriander and parsley in 14 cup water in a small cup and add green peppers ; set aside.  chop peppers ; combine with tomatoes.  mix tomatoes, green tomatoes, green peppers, and peppers in a food processor until finely chopped mixture is roughly chopped.  stir in bread dough, apples, salami.  divide dough in half.  roll each piece of dough in the dough, about 14inch apart.  form each half into a ball.  place balls about 1 tablespoon of filling in each end of each ball.  roll the ball tightly ; pinch the edges to seal.  place in a greased baking dish.  bake at 375 for 1 hour.  remove baking dish from oven ; sprinkle with remaining 12 cup water.  return baking dish to oven ; bake 1015 minutes.  if desired, sprinkle with a little coriander. 


",Penne with Crab
2134,"lime zest,coriander powder,tandoori paste,flour",," 4 cups flour | 1 tablespoon paprika | 1 teaspoon coriander powder | 1/4 teaspoon cinnamon | 2 tablespoons tamarind paste | 1 cup sugar | 1 tablespoon fresh lime peel, zest of "," add all ingredients, stirring till smooth.  cover and refrigerate for 6 hours.  serve hot. 


",Tandoori Pulao
2135,"cooking spray,self raising flour,rice noodle,shallot,oatmeal,salt pepper,bean sprout,marzipan",, 1 1/2 tablespoons rice noodles | 1 tablespoon quick oats | 1 cup bean sprouts | 1 cup cooked rice noodle | 1/2 cup oatmeal | 1 egg yolk | salt and pepper | cooking spray ," to make noodles  in a large bowl, whisk together all of the ingredients except cooking spray.  form into 1 inch balls.  place on a cookie sheet in a single layer.  bake in a 350 degree oven until cooked but still firm, about 20 mins.  to make noodles  in a small bowl, combine all of the ingredients except cooking spray.  stir to combine well, about 1 minute.  to assemble noodles  in a large bowl, combine the noodles, sprouts, and oatmeal.  season with salt and pepper to taste, mix well, and place in a large, ovenproof, dish.  bake for about 12 minutes.  to make rice noodle  in a large bowl, combine the oatmeal with the egg yolk and half of the cooked rice noodles mix.  sprinkle with salt and pepper if needed to serve. 


",Oatmeal & Rice Noodles
2136,"masala,fruit",, 100 g fresh masala | 3 cups fruit ," mash all ingredients with a fork. 


",Moussina (Persian Fruit Salad)
2137,"tea,chickpea,green cardamom pod,natural peanut butter,rice wine,garam masala",," 3 chicken breasts, boneless cut into strips | 3 teaspoons natural peanut butter | 1 cup rice wine vinegar | 2 teaspoons garam masala | 1 teaspoon ground black cardamom pod ( see notes ) | 3 green cardamom pods and 2 cloves chopped ( to garnish ) | 1 cup whole milk | 1 egg white "," in a saucepan, combine peanut butter, rice wine vinegar, garam masala, and ground cardamom.  bring to the boil and cook for a minute.  add chicken, stirring gently.  add milk one at a time, and bring to the boil over high heat.  stir often, as the sauce becomes soggy.  lower the heat, cover, and simmer until chicken is almost tender, about 10 to 15 minutes.  while the chicken is cooking, prepare the garnish of the bowl with 1 tablespoon of the egg white.  heat half the milk over low heat, and when the milk is boiling add 3 tablespoons of the peanut butter mixture.  when the peanut butter mixture becomes very thick, the egg white will begin to set while you stir in the rest of the milk and 1 tablespoon of the egg white. 


",Bengali Chicken
2138,"tomato juice,marjoram",," 1 1/4 cups tomato paste | 1 can crushed tomatoes with juice, undiluted | 2 tablespoons vegan margarine | 2 garlic cloves, minced | 4 teaspoons pure marjoram ( optional ) | 1 cup white wine "," preheat oven broiler.  combine tomato paste, crushed tomatoes and margarine in blender until well mixed.  combine garlic, marjoram and wine in blender.  pour over tomato mixture and blend until blended.  pour into an 8 x 4 inch glass baking dish lined with waxed paper.  sprinkle with crushed garlic.  bake, uncovered, stirring after 10 minutes.  top with the reserved marjoram mixture. 


",Italian Tomato Sauce
2139,"jasmine rice,egg yolk,cardamom seed,cheese ravioli,chocolate chip,active yeast,cream chicken soup,white bread",," 1 cup jasmine rice | 1 1/2 tablespoons milk ( low fat or dark ) | 1/2 cup red grape, thinly sliced | 1/4 cup white bread, sliced | 4 egg yolks | 1 tablespoon white bread flour | 1 1/2 teaspoons active dry yeast | 1 teaspoon black pepper | 3/4 cup chocolate chips | 2 tablespoons freshly grated cheese-and-orange zest | 1/4 teaspoon chipamom seed "," in a saucepan, bring milk, rice, red grape, bread and egg yolks to a boil over high heat.  reduce heat to low and keep warm.  stir yeast and pepper in a saucepan ; simmer until yeast dissolves.  gradually add chocolate chips and cook, stirring constantly, for 2 minutes.  remove from heat and stir in the bread flour, yeast mixture and pepper in the pan.  cover, and let rest for 5 minutes.  spoon remaining batter into the greased 9 inch round baking dish.  sprinkle the egg whites evenly over the top.  bake at 350 for 25 minutes.  top with grated cheese and orange zest.  let cake stand until golden brown and cooled, about 30 minutes. 


",Chicken Primavera (Low Fat)
2140,"baking powder,cooking oat,mustard powder,lime wedge,cabbage,grape,turmeric",," 1 cup cooking oatmeal | 1 lb ground cabbage | 1 lb rice | 2 large tomatoes, diced | 1/3 cup red onion, diced | 1 tablespoon all-purpose flour | 1 teaspoon baking powder | 6 tablespoons fresh lime juice | 1 teaspoon mustard powder | 1/2 cup red wine | 4 cloves | 1/2 teaspoon ground turmeric | 1 tablespoon cider vinegar | 2 tablespoons grape juice "," combine oatmeal, cabbage mixture and rice in a large bowl.  scoop out excess moisture and place on paper baking paper.  combine tomatoes, onion, flour, baking powder and lime juice.  combine vinegar, wine, cloves, sugar, and turmeric.  stir well  mix well.  shape dough into 12 inch balls.  cover and refrigerate overnight.  after 30 minutes, roll out dough into a 12inch square.  place 6 tablespoons rice mixture into center and roll out to 12 inch thickness.  sprinkle with remaining rice mixture and roll tightly over oatmeal mixture.  cut into 34 inch squares and place on a serving plate.  cover with foil and refrigerate.  bake at 350 degrees fahrenheit, basting, until crisp, 2025 minutes. 


",Sweet and Sour Cabbage Rolls
2141,"horseradish,pumpkin,lemon pepper",," 2 tablespoons butter | 2 tablespoons olive oil | 2 lemons, halved in half, and seeds removed, then seeds peeled | 2 lbs fresh pumpkin ( peeled and flaked ) | 2 cups chicken broth | 1 tablespoon prepared horseradish | salt and pepper, to taste | 4 garlic cloves, crushed | 15 1/2 ounces fresh cannellini ( fresh or frozen ) "," melt the butter in a saucepan over medium heat.  stir in the lemons, and cook for about 4 minutes, or until the lemon is slightly browned.  remove from heat, and cut the pumpkin into slices about 1 and 12 inch thick.  stir the chicken broth, horseradish, salt, and pepper into the pumpkin and place in a serving platter.  cover the pumpkin with plastic wrap.  place a rack in the top third of the oven, and preheat the oven to 375 degrees f.  bring the pumpkin slices to a boil in a small pot over high heat for about 1 minute, remove from the pot.  place a piece of aluminum foil on the pan and secure with string and the pumpkin, and carefully place the pumpkin onto the foil on the baking rack.  bake about 50 minutes, or until the pumpkin is tender.  remove the pumpkin from the oven, and carefully loosen with a sharp knife.  remove the plastic wrap, and repeat layers with the remaining pumpkin, chicken, and broth.  allow the pumpkin to sit in the oven for 1015 minutes, until the squash is soft and easily flaked with a fork.  discard the foil and allow to cool slightly.  remove the pumpkin from the baking rack with a slotted spoon from the oven, and serve warm. 


",Moroccan Pumpkin Chicken
2142,"catfish fillet,chicken meat",, 1/4 cup catsup | 1/4 cup chicken meat ( optional ) ," combine catsup and meat if using and marinate for at least 30 minutes.  cut the catfish into bitesized pieces and place on a plate and cover with plastic wrap.  place in a warm area for at least 2 hours.  to ensure even cooking, drain catfish and pat dry.  when ready to serve, shred the catfish and add to a bowl with cooked fish.  or if youre making a vegetarian version of the catfish, shred the meat with a fork and add the fish to the bowl and keep warm in a closed container for up to 2 hours. 


",Catfish
2143,"marmalade,water chestnut,italian,parsley flake,red chili pepper,vegetable bouillon cube,white wine vinegar",," 3 garlic chilies | 1 can garbanzo beans, drained, rinsed, and drained | 5 cups low sodium chicken broth | 3/4 cup mango juice ( not canned ) | 1 can black garbanzo beans, drained | 1/2 cup red onions | 1 can garbanzo beans, drained, rinsed, and drained | 2 cans sweet italian stewed tomatoes ( red, green, seeded, and chopped ) | 2 cups water chestnuts, chopped | 1 tablespoon sweet italian parsley flakes | 1/2 teaspoon cinnamon | 1 dash red chili pepper ( or substitute to taste if you like it hot ) | 1/2 teaspoon white wine vinegar "," slice chicken into 5 pieces.  put garbanzo beans in a 3 quart stock pot.  bring to a boil and simmer for a few minutes.  strain stock.  add mango and black garbanzo beans.  add onion and stir to combine.  add beans, tomatoes, water chestnuts, parsley flakes, cinnamon, and the red chile.  bring to a boil and simmer for 15 minutes.  puree until smooth and pour into jars.  store in a tightly closed jar in the fridge for up to 3 months before serving. 


",Easy Chicken Kebabs With Mango (Kavos)
2144,"cooking spray,port wine,cream mushroom soup",, 1 can cream of mushroom soup | 1 can condensed port wine ( not the low sodium type ) | 1/4 cup cooking spray ," place ingredients for cooking sauce in the order given in the recipe above.  in the above manner, cover and heat gently.  once bubbling, pour in the mixture.  cover tightly and reduce until it reaches the desired consistency of soup. 


",Mushroom Gravy
2145,"green chili salsa,bibb lettuce,lasagna noodle,red wine,flour,raspberry,mexican cheese,vegetable oil",," 1 lb minced fresh shrimp | 1/4 cup minced red wine | 1 can condensed green chili salsa | 1/2 package frozen cooked arugula lettuce | 3/4 package shredded mexican blend cheese | 6 lasagna noodles, thawed | 5 tablespoons vegetable oil | 1 package shredded cooked raspberries | 6 -8 ounces shredded swiss-style cheese, with juice "," preheat oven to 375 degrees.  in a small bowl, combine shrimp, wine, salsa, arugula limes, 1 - 12 cups water, 4 noodles and 1 tbsp oil.  let stand for several minutes or until just tender.  pour shrimp mixture over noodle mixture, pressing well to completely separate noodles.  place noodles in a 2quart baking dish, overlapping.  cover with half of the noodles, then half the cheeses.  top with half the arugula, then repeat.  bake for 45 minutes.  top with remaining noodles, cheese and remaining remaining arugula, and bake 10 minutes or until cheese is melted. 


",Chilean Shrimp and Cheese Lasagna
2146,"heavy whipping cream,tomato paste,mexican oregano,cauliflower,lettuce leaf",," 1/4 cup olive oil | 1/2 cup chopped green onion | 1 teaspoon cumin seed | 1/2 teaspoon coriander | 1 1/2 lbs ground turkey | 1 teaspoon dried oregano | 3 lbs ground lean ground turkey | 1 1/4 cups tomato sauce | 1/2 cup light brown sugar | 1 tablespoon salt | 1 can refried black beans | 2 cups chicken stock | 1/3 cup light sour cream | 1/3 cup low sodium tomato paste | 1 tablespoon tomato sauce | 1 pinch cumin | 1 pound frozen diced tomatoes, thawed | 1 pound frozen cauliflower, thawed and drained | ground turkey, drained and rinsed | 1 cup coarse-grained mexican-style oregano "," in a small skillet over medium heat, heat the cumin and coriander seeds until fragrant.  transfer to a bowl ; set aside.  in a large, heavy bottomed pot over medium heat, heat the oil.  add onion and cumin and cook, stirring often, until translucent ; set aside.  add ground turkey, ground turkey, and oregano to the pot, and cook until crumbled.  stir in the tomato sauce, refried beans, and stock.  bring to a full boil, and reduce heat to mediumlow.  cook, stirring occasionally, for 12 hour.  taste and adjust seasonings.  in a large saucepan heat the remaining 1 - 12 cups brown sugar over medium heat.  add the salt.  whisk in the tomatoes, drained black beans, broth, and sour cream ; reduce heat to low.  cover, and simmer for 20 to 25 minutes, until vegetables have softened.  add the ground turkey, and stir.  continue to cook until meat is browned but done, about 15 minutes ; increase heat to mediumhigh and continue cooking until vegetables are cooked but not yet tender, about 5 more 5 minutes.  stir in the tomato paste, tomato sauce, oregano, and tomato soup through the meat mixture ; season with salt.  season with cumin seed and coriander, and stir in the turkey.  mix well to combine.  serve in a large bowl, garnishing with the cumin seeds and coriander and serve in individual bowls. 


",Mexican Cauliflower Stew
2147,"english cucumber,wonton wrapper,italian salad dressing mix,pork,tamarind paste,pesto sauce",," 6 wonton wrappers | 1 english cucumber, sliced | 2 teaspoons dried tamarind paste | 1 teaspoon pesto sauce ( optional ) | 1/2 cup italian salad dressing mix "," place the wonton wrappers on a large baking sheet and spread out the filling on the tops.  arrange the pips on top.  top with 12 cup of the salad dressing.  spread remaining salad dressing on the top of each chop.  sprinkle pesto on top of every chop.  let chill for 15 minutes before serving.  cut into wedges.  serve or refrigerate. 


",Lubanese Chilled Red Chilli Pepper
2148,"seasoning salt,rice noodle",, 1 package dried rice noodles | 1 teaspoon seasoning salt | 1/2 cup shredded reduced-fat white b,"Name:- ##
 Korean-Style Rice Noodles 
 
## Ingredients ##
 1 package dried rice noodles | 1 teaspoon seasoning salt | 1/2 cup shredded reduced-fat white button mushroom. 


",Korean-Style Rice Noodles
2149,"almond milk,lime juice",," 3/4 cup sugar | 2 1/2 cups almond flour | 1 teaspoon ground cinnamon | 1/2 - 1 cup almond milk | 1 -2 cup margarine, melted "," blend sugar and almond flour together until completely combined in a blender.  cover and blend on medium speed 4 minutes   do not stir.  in a large mixing bowl  combine flour, cinnamon, milk and margarine  mix until smooth.  stir in margarine.  stir in 1 cup at a time until blended.  do not over process or mixture will curdle and curdle.  add 12 cup at a time until dough is soft and forms into ball.  divide dough into 6 equal portions each.  knead until smooth you should be able to roll out into 2 balls.  with floured hands spread dough into 8 x 18 inch rectangle with about 1inch of batter.  roll each piece into a disc about 1 inch thick.  brush with remaining almondmilk mixture.  repeat with remaining dough pieces.  refrigerate for 2 days.  preheat oven to 375 degrees.  bake for 3540 minutes or until toothpick inserted in center comes out clean.  let cool 5 minutes before serving. 


",Almond Crisp
2150,"cheese,vegetarian bean,ginger,chive,lemon wedge",," 2 tablespoons chopped fresh chives | 3 garlic cloves, minced | 4 tablespoons fresh ginger root, minced | 8 -10 skinless, boneless chicken breasts ( not skinless ) | 1/2 cup fresh green beans ( don't skip it ) | 1 can vegetarian cream | 1 teaspoon vegetarian chili paste | 1/4 teaspoon black pepper | 1/2 cup sour cream ( optional ) "," cut chicken breasts into 1inch slices.  mix the chives, garlic, ginger, and chives in a bowl.  set aside.  spray a 12 to 1quart casserole dish coated with nonstick spray.  add half of the chicken to the casserole dish and stir to coat.  cover and bake at 350 degrees for 45 minutes, or until chicken is done. 


",Easy Cheesy Chicken
2151,"walnut,jalapeno pepper",," 1 lb jalapeno pepper | 2 cups walnuts, chopped "," place jalapeno and walnuts into a heavy bottomed saucepan, add enough water to cover it  bring to a boil, then reduce the heat and simmer for 10 minutes.  strain the jalapeno peppers and cut into thin strips.  set the mixture aside and store in an airtight container till ready to use.  preheat oven to 350 degrees f 175 degrees c.  cut the walnuts into thin rounds, pour the rest of the liquid off the jalapeno peppers or use your favorite sweetener.  add to the jalapeno mixture in the saucepan.  cover the pan, then heat until the jalapeno is very hot.  if any liquid is not quite warm, reduce the heat to low.  sprinkle a few walnuts into the bottom of the pan.  place a roasting pan on top of the pan, or a small baking dish to cover the roasting pan completely.  place walnut strips directly onto the pan, and place the jalapeno in the pan with the walnut pieces.  gently turn the roasted pieces over, and continue to place them in the roasting pan.  bake for 30 minutes in the preheated oven, until the walnut pieces are cooked through but the flavors are not completely blended. 


",Smoky Jalapeno Walnut Relish
